Kernel,Param1,Param2,Options,Size,Time
clBlas,1,4,-cl-std=CL2.0,4096,2.08925
clBlas,1,4,-cl-std=CL2.0,4096,1.96938
clBlas,1,4,-cl-std=CL2.0,4096,1.89695
clBlas,1,4,-cl-std=CL2.0,4096,2.04851
clBlas,1,4,-cl-std=CL2.0,4096,1.84221
clBlas,1,4,-cl-std=CL2.0,4096,2.02962
clBlas,1,4,-cl-std=CL2.0,4096,1.98310
clBlas,1,4,-cl-std=CL2.0,4096,1.85442
clBlas,1,4,-cl-std=CL2.0,4096,2.08528
clBlas,1,4,-cl-std=CL2.0,4096,1.93846
clBlas,1,4,-cl-std=CL2.0,4096,2.01366
clBlas,1,4,-cl-std=CL2.0,4096,1.87362
clBlas,1,4,-cl-std=CL2.0,4096,2.00656
clBlas,1,4,-cl-std=CL2.0,4096,1.86165
clBlas,1,4,-cl-std=CL2.0,4096,1.91549
clBlas,1,4,-cl-std=CL2.0,4096,1.93947
clBlas,1,4,-cl-std=CL2.0,4096,1.84391
clBlas,1,4,-cl-std=CL2.0,4096,1.98472
clBlas,1,4,-cl-std=CL2.0,4096,1.90674
clBlas,1,4,-cl-std=CL2.0,4096,2.06268
clBlas,1,4,-cl-std=CL2.0,4096,1.76669
clBlas,1,4,-cl-std=CL2.0,4096,1.88119
clBlas,1,4,-cl-std=CL2.0,4096,2.01801
clBlas,1,4,-cl-std=CL2.0,4096,1.85584
clBlas,1,4,-cl-std=CL2.0,4096,2.08182
clBlas,1,4,-cl-std=CL2.0,4096,1.87109
clBlas,1,4,-cl-std=CL2.0,4096,1.91088
clBlas,1,4,-cl-std=CL2.0,4096,2.08896
clBlas,1,4,-cl-std=CL2.0,4096,1.93245
clBlas,1,4,-cl-std=CL2.0,4096,1.95835
clBlas,1,4,-cl-std=CL2.0,4096,1.98736
clBlas,1,4,-cl-std=CL2.0,4096,1.75297
clBlas,1,4,-cl-std=CL2.0,4096,1.92548
clBlas,1,4,-cl-std=CL2.0,4096,1.95019
clBlas,1,4,-cl-std=CL2.0,4096,2.06763
clBlas,1,4,-cl-std=CL2.0,4096,1.92303
clBlas,1,4,-cl-std=CL2.0,4096,1.89826
clBlas,1,4,-cl-std=CL2.0,4096,1.91502
clBlas,1,4,-cl-std=CL2.0,4096,1.99279
clBlas,1,4,-cl-std=CL2.0,4096,1.99318
clBlas,1,4,-cl-std=CL2.0,4096,1.91006
clBlas,1,4,-cl-std=CL2.0,4096,2.08970
clBlas,1,4,-cl-std=CL2.0,4096,2.06445
clBlas,1,4,-cl-std=CL2.0,4096,2.01099
